ROC,AP,F1,Accuracy,BalancedAccuracy,Recall,Specificity,Precision,TN,FP,FN,TP,Dataset,Comparison,ModelType,FeatureSet,FeatureCount,SamplingScenario,SamplingMethod,SamplingRatio,TrainClass0_after_sampling,TrainClass1_after_sampling,SelectedFeatures
0.8899608501118569,0.8064213766497372,0.7272727272727273,0.8781725888324873,0.8064876957494407,0.6666666666666666,0.9463087248322147,0.8,141,8,16,32,ERa_BLA_assay,RF sampling,RandomForest,rdkit,217,balanced_oversampling,oversampling,1.0,597,597,"[""RDKit_MaxAbsEStateIndex"", ""RDKit_MaxEStateIndex"", ""RDKit_MinAbsEStateIndex"", ""RDKit_MinEStateIndex"", ""RDKit_qed"", ""RDKit_SPS"", ""RDKit_MolWt"", ""RDKit_HeavyAtomMolWt"", ""RDKit_ExactMolWt"", ""RDKit_NumValenceElectrons"", ""RDKit_NumRadicalElectrons"", ""RDKit_MaxPartialCharge"", ""RDKit_MinPartialCharge"", ""RDKit_MaxAbsPartialCharge"", ""RDKit_MinAbsPartialCharge"", ""RDKit_FpDensityMorgan1"", ""RDKit_FpDensityMorgan2"", ""RDKit_FpDensityMorgan3"", ""RDKit_BCUT2D_MWHI"", ""RDKit_BCUT2D_MWLOW"", ""RDKit_BCUT2D_CHGHI"", ""RDKit_BCUT2D_CHGLO"", ""RDKit_BCUT2D_LOGPHI"", ""RDKit_BCUT2D_LOGPLOW"", ""RDKit_BCUT2D_MRHI"", ""RDKit_BCUT2D_MRLOW"", ""RDKit_AvgIpc"", ""RDKit_BalabanJ"", ""RDKit_BertzCT"", ""RDKit_Chi0"", ""RDKit_Chi0n"", ""RDKit_Chi0v"", ""RDKit_Chi1"", ""RDKit_Chi1n"", ""RDKit_Chi1v"", ""RDKit_Chi2n"", ""RDKit_Chi2v"", ""RDKit_Chi3n"", ""RDKit_Chi3v"", ""RDKit_Chi4n"", ""RDKit_Chi4v"", ""RDKit_HallKierAlpha"", ""RDKit_Ipc"", ""RDKit_Kappa1"", ""RDKit_Kappa2"", ""RDKit_Kappa3"", ""RDKit_LabuteASA"", ""RDKit_PEOE_VSA1"", ""RDKit_PEOE_VSA10"", ""RDKit_PEOE_VSA11"", ""RDKit_PEOE_VSA12"", ""RDKit_PEOE_VSA13"", ""RDKit_PEOE_VSA14"", ""RDKit_PEOE_VSA2"", ""RDKit_PEOE_VSA3"", ""RDKit_PEOE_VSA4"", ""RDKit_PEOE_VSA5"", ""RDKit_PEOE_VSA6"", ""RDKit_PEOE_VSA7"", ""RDKit_PEOE_VSA8"", ""RDKit_PEOE_VSA9"", ""RDKit_SMR_VSA1"", ""RDKit_SMR_VSA10"", ""RDKit_SMR_VSA2"", ""RDKit_SMR_VSA3"", ""RDKit_SMR_VSA4"", ""RDKit_SMR_VSA5"", ""RDKit_SMR_VSA6"", ""RDKit_SMR_VSA7"", ""RDKit_SMR_VSA8"", ""RDKit_SMR_VSA9"", ""RDKit_SlogP_VSA1"", ""RDKit_SlogP_VSA10"", ""RDKit_SlogP_VSA11"", ""RDKit_SlogP_VSA12"", ""RDKit_SlogP_VSA2"", ""RDKit_SlogP_VSA3"", ""RDKit_SlogP_VSA4"", ""RDKit_SlogP_VSA5"", ""RDKit_SlogP_VSA6"", ""RDKit_SlogP_VSA7"", ""RDKit_SlogP_VSA8"", ""RDKit_SlogP_VSA9"", ""RDKit_TPSA"", ""RDKit_EState_VSA1"", ""RDKit_EState_VSA10"", ""RDKit_EState_VSA11"", ""RDKit_EState_VSA2"", ""RDKit_EState_VSA3"", ""RDKit_EState_VSA4"", ""RDKit_EState_VSA5"", ""RDKit_EState_VSA6"", ""RDKit_EState_VSA7"", ""RDKit_EState_VSA8"", ""RDKit_EState_VSA9"", ""RDKit_VSA_EState1"", ""RDKit_VSA_EState10"", ""RDKit_VSA_EState2"", ""RDKit_VSA_EState3"", ""RDKit_VSA_EState4"", ""RDKit_VSA_EState5"", ""RDKit_VSA_EState6"", ""RDKit_VSA_EState7"", ""RDKit_VSA_EState8"", ""RDKit_VSA_EState9"", ""RDKit_FractionCSP3"", ""RDKit_HeavyAtomCount"", ""RDKit_NHOHCount"", ""RDKit_NOCount"", ""RDKit_NumAliphaticCarbocycles"", ""RDKit_NumAliphaticHeterocycles"", ""RDKit_NumAliphaticRings"", ""RDKit_NumAmideBonds"", ""RDKit_NumAromaticCarbocycles"", ""RDKit_NumAromaticHeterocycles"", ""RDKit_NumAromaticRings"", ""RDKit_NumAtomStereoCenters"", ""RDKit_NumBridgeheadAtoms"", ""RDKit_NumHAcceptors"", ""RDKit_NumHDonors"", ""RDKit_NumHeteroatoms"", ""RDKit_NumHeterocycles"", ""RDKit_NumRotatableBonds"", ""RDKit_NumSaturatedCarbocycles"", ""RDKit_NumSaturatedHeterocycles"", ""RDKit_NumSaturatedRings"", ""RDKit_NumSpiroAtoms"", ""RDKit_NumUnspecifiedAtomStereoCenters"", ""RDKit_Phi"", ""RDKit_RingCount"", ""RDKit_MolLogP"", ""RDKit_MolMR"", ""RDKit_fr_Al_COO"", ""RDKit_fr_Al_OH"", ""RDKit_fr_Al_OH_noTert"", ""RDKit_fr_ArN"", ""RDKit_fr_Ar_COO"", ""RDKit_fr_Ar_N"", ""RDKit_fr_Ar_NH"", ""RDKit_fr_Ar_OH"", ""RDKit_fr_COO"", ""RDKit_fr_COO2"", ""RDKit_fr_C_O"", ""RDKit_fr_C_O_noCOO"", ""RDKit_fr_C_S"", ""RDKit_fr_HOCCN"", ""RDKit_fr_Imine"", ""RDKit_fr_NH0"", ""RDKit_fr_NH1"", ""RDKit_fr_NH2"", ""RDKit_fr_N_O"", ""RDKit_fr_Ndealkylation1"", ""RDKit_fr_Ndealkylation2"", ""RDKit_fr_Nhpyrrole"", ""RDKit_fr_SH"", ""RDKit_fr_aldehyde"", ""RDKit_fr_alkyl_carbamate"", ""RDKit_fr_alkyl_halide"", ""RDKit_fr_allylic_oxid"", ""RDKit_fr_amide"", ""RDKit_fr_amidine"", ""RDKit_fr_aniline"", ""RDKit_fr_aryl_methyl"", ""RDKit_fr_azide"", ""RDKit_fr_azo"", ""RDKit_fr_barbitur"", ""RDKit_fr_benzene"", ""RDKit_fr_benzodiazepine"", ""RDKit_fr_bicyclic"", ""RDKit_fr_diazo"", ""RDKit_fr_dihydropyridine"", ""RDKit_fr_epoxide"", ""RDKit_fr_ester"", ""RDKit_fr_ether"", ""RDKit_fr_furan"", ""RDKit_fr_guanido"", ""RDKit_fr_halogen"", ""RDKit_fr_hdrzine"", ""RDKit_fr_hdrzone"", ""RDKit_fr_imidazole"", ""RDKit_fr_imide"", ""RDKit_fr_isocyan"", ""RDKit_fr_isothiocyan"", ""RDKit_fr_ketone"", ""RDKit_fr_ketone_Topliss"", ""RDKit_fr_lactam"", ""RDKit_fr_lactone"", ""RDKit_fr_methoxy"", ""RDKit_fr_morpholine"", ""RDKit_fr_nitrile"", ""RDKit_fr_nitro"", ""RDKit_fr_nitro_arom"", ""RDKit_fr_nitro_arom_nonortho"", ""RDKit_fr_nitroso"", ""RDKit_fr_oxazole"", ""RDKit_fr_oxime"", ""RDKit_fr_para_hydroxylation"", ""RDKit_fr_phenol"", ""RDKit_fr_phenol_noOrthoHbond"", ""RDKit_fr_phos_acid"", ""RDKit_fr_phos_ester"", ""RDKit_fr_piperdine"", ""RDKit_fr_piperzine"", ""RDKit_fr_priamide"", ""RDKit_fr_prisulfonamd"", ""RDKit_fr_pyridine"", ""RDKit_fr_quatN"", ""RDKit_fr_sulfide"", ""RDKit_fr_sulfonamd"", ""RDKit_fr_sulfone"", ""RDKit_fr_term_acetylene"", ""RDKit_fr_tetrazole"", ""RDKit_fr_thiazole"", ""RDKit_fr_thiocyan"", ""RDKit_fr_thiophene"", ""RDKit_fr_unbrch_alkane"", ""RDKit_fr_urea""]"
0.8889821029082775,0.8029074843718218,0.65,0.8578680203045685,0.7506991051454138,0.5416666666666666,0.959731543624161,0.8125,143,6,22,26,ERa_BLA_assay,RF sampling,RandomForest,rdkit,217,none,none,1.0,597,190,"[""RDKit_MaxAbsEStateIndex"", ""RDKit_MaxEStateIndex"", ""RDKit_MinAbsEStateIndex"", ""RDKit_MinEStateIndex"", ""RDKit_qed"", ""RDKit_SPS"", ""RDKit_MolWt"", ""RDKit_HeavyAtomMolWt"", ""RDKit_ExactMolWt"", ""RDKit_NumValenceElectrons"", ""RDKit_NumRadicalElectrons"", ""RDKit_MaxPartialCharge"", ""RDKit_MinPartialCharge"", ""RDKit_MaxAbsPartialCharge"", ""RDKit_MinAbsPartialCharge"", ""RDKit_FpDensityMorgan1"", ""RDKit_FpDensityMorgan2"", ""RDKit_FpDensityMorgan3"", ""RDKit_BCUT2D_MWHI"", ""RDKit_BCUT2D_MWLOW"", ""RDKit_BCUT2D_CHGHI"", ""RDKit_BCUT2D_CHGLO"", ""RDKit_BCUT2D_LOGPHI"", ""RDKit_BCUT2D_LOGPLOW"", ""RDKit_BCUT2D_MRHI"", ""RDKit_BCUT2D_MRLOW"", ""RDKit_AvgIpc"", ""RDKit_BalabanJ"", ""RDKit_BertzCT"", ""RDKit_Chi0"", ""RDKit_Chi0n"", ""RDKit_Chi0v"", ""RDKit_Chi1"", ""RDKit_Chi1n"", ""RDKit_Chi1v"", ""RDKit_Chi2n"", ""RDKit_Chi2v"", ""RDKit_Chi3n"", ""RDKit_Chi3v"", ""RDKit_Chi4n"", ""RDKit_Chi4v"", ""RDKit_HallKierAlpha"", ""RDKit_Ipc"", ""RDKit_Kappa1"", ""RDKit_Kappa2"", ""RDKit_Kappa3"", ""RDKit_LabuteASA"", ""RDKit_PEOE_VSA1"", ""RDKit_PEOE_VSA10"", ""RDKit_PEOE_VSA11"", ""RDKit_PEOE_VSA12"", ""RDKit_PEOE_VSA13"", ""RDKit_PEOE_VSA14"", ""RDKit_PEOE_VSA2"", ""RDKit_PEOE_VSA3"", ""RDKit_PEOE_VSA4"", ""RDKit_PEOE_VSA5"", ""RDKit_PEOE_VSA6"", ""RDKit_PEOE_VSA7"", ""RDKit_PEOE_VSA8"", ""RDKit_PEOE_VSA9"", ""RDKit_SMR_VSA1"", ""RDKit_SMR_VSA10"", ""RDKit_SMR_VSA2"", ""RDKit_SMR_VSA3"", ""RDKit_SMR_VSA4"", ""RDKit_SMR_VSA5"", ""RDKit_SMR_VSA6"", ""RDKit_SMR_VSA7"", ""RDKit_SMR_VSA8"", ""RDKit_SMR_VSA9"", ""RDKit_SlogP_VSA1"", ""RDKit_SlogP_VSA10"", ""RDKit_SlogP_VSA11"", ""RDKit_SlogP_VSA12"", ""RDKit_SlogP_VSA2"", ""RDKit_SlogP_VSA3"", ""RDKit_SlogP_VSA4"", ""RDKit_SlogP_VSA5"", ""RDKit_SlogP_VSA6"", ""RDKit_SlogP_VSA7"", ""RDKit_SlogP_VSA8"", ""RDKit_SlogP_VSA9"", ""RDKit_TPSA"", ""RDKit_EState_VSA1"", ""RDKit_EState_VSA10"", ""RDKit_EState_VSA11"", ""RDKit_EState_VSA2"", ""RDKit_EState_VSA3"", ""RDKit_EState_VSA4"", ""RDKit_EState_VSA5"", ""RDKit_EState_VSA6"", ""RDKit_EState_VSA7"", ""RDKit_EState_VSA8"", ""RDKit_EState_VSA9"", ""RDKit_VSA_EState1"", ""RDKit_VSA_EState10"", ""RDKit_VSA_EState2"", ""RDKit_VSA_EState3"", ""RDKit_VSA_EState4"", ""RDKit_VSA_EState5"", ""RDKit_VSA_EState6"", ""RDKit_VSA_EState7"", ""RDKit_VSA_EState8"", ""RDKit_VSA_EState9"", ""RDKit_FractionCSP3"", ""RDKit_HeavyAtomCount"", ""RDKit_NHOHCount"", ""RDKit_NOCount"", ""RDKit_NumAliphaticCarbocycles"", ""RDKit_NumAliphaticHeterocycles"", ""RDKit_NumAliphaticRings"", ""RDKit_NumAmideBonds"", ""RDKit_NumAromaticCarbocycles"", ""RDKit_NumAromaticHeterocycles"", ""RDKit_NumAromaticRings"", ""RDKit_NumAtomStereoCenters"", ""RDKit_NumBridgeheadAtoms"", ""RDKit_NumHAcceptors"", ""RDKit_NumHDonors"", ""RDKit_NumHeteroatoms"", ""RDKit_NumHeterocycles"", ""RDKit_NumRotatableBonds"", ""RDKit_NumSaturatedCarbocycles"", ""RDKit_NumSaturatedHeterocycles"", ""RDKit_NumSaturatedRings"", ""RDKit_NumSpiroAtoms"", ""RDKit_NumUnspecifiedAtomStereoCenters"", ""RDKit_Phi"", ""RDKit_RingCount"", ""RDKit_MolLogP"", ""RDKit_MolMR"", ""RDKit_fr_Al_COO"", ""RDKit_fr_Al_OH"", ""RDKit_fr_Al_OH_noTert"", ""RDKit_fr_ArN"", ""RDKit_fr_Ar_COO"", ""RDKit_fr_Ar_N"", ""RDKit_fr_Ar_NH"", ""RDKit_fr_Ar_OH"", ""RDKit_fr_COO"", ""RDKit_fr_COO2"", ""RDKit_fr_C_O"", ""RDKit_fr_C_O_noCOO"", ""RDKit_fr_C_S"", ""RDKit_fr_HOCCN"", ""RDKit_fr_Imine"", ""RDKit_fr_NH0"", ""RDKit_fr_NH1"", ""RDKit_fr_NH2"", ""RDKit_fr_N_O"", ""RDKit_fr_Ndealkylation1"", ""RDKit_fr_Ndealkylation2"", ""RDKit_fr_Nhpyrrole"", ""RDKit_fr_SH"", ""RDKit_fr_aldehyde"", ""RDKit_fr_alkyl_carbamate"", ""RDKit_fr_alkyl_halide"", ""RDKit_fr_allylic_oxid"", ""RDKit_fr_amide"", ""RDKit_fr_amidine"", ""RDKit_fr_aniline"", ""RDKit_fr_aryl_methyl"", ""RDKit_fr_azide"", ""RDKit_fr_azo"", ""RDKit_fr_barbitur"", ""RDKit_fr_benzene"", ""RDKit_fr_benzodiazepine"", ""RDKit_fr_bicyclic"", ""RDKit_fr_diazo"", ""RDKit_fr_dihydropyridine"", ""RDKit_fr_epoxide"", ""RDKit_fr_ester"", ""RDKit_fr_ether"", ""RDKit_fr_furan"", ""RDKit_fr_guanido"", ""RDKit_fr_halogen"", ""RDKit_fr_hdrzine"", ""RDKit_fr_hdrzone"", ""RDKit_fr_imidazole"", ""RDKit_fr_imide"", ""RDKit_fr_isocyan"", ""RDKit_fr_isothiocyan"", ""RDKit_fr_ketone"", ""RDKit_fr_ketone_Topliss"", ""RDKit_fr_lactam"", ""RDKit_fr_lactone"", ""RDKit_fr_methoxy"", ""RDKit_fr_morpholine"", ""RDKit_fr_nitrile"", ""RDKit_fr_nitro"", ""RDKit_fr_nitro_arom"", ""RDKit_fr_nitro_arom_nonortho"", ""RDKit_fr_nitroso"", ""RDKit_fr_oxazole"", ""RDKit_fr_oxime"", ""RDKit_fr_para_hydroxylation"", ""RDKit_fr_phenol"", ""RDKit_fr_phenol_noOrthoHbond"", ""RDKit_fr_phos_acid"", ""RDKit_fr_phos_ester"", ""RDKit_fr_piperdine"", ""RDKit_fr_piperzine"", ""RDKit_fr_priamide"", ""RDKit_fr_prisulfonamd"", ""RDKit_fr_pyridine"", ""RDKit_fr_quatN"", ""RDKit_fr_sulfide"", ""RDKit_fr_sulfonamd"", ""RDKit_fr_sulfone"", ""RDKit_fr_term_acetylene"", ""RDKit_fr_tetrazole"", ""RDKit_fr_thiazole"", ""RDKit_fr_thiocyan"", ""RDKit_fr_thiophene"", ""RDKit_fr_unbrch_alkane"", ""RDKit_fr_urea""]"
0.8822007829977628,0.8032956992893108,0.717391304347826,0.868020304568528,0.8068372483221476,0.6875,0.9261744966442953,0.75,138,11,15,33,ERa_BLA_assay,RF sampling,RandomForest,rdkit,217,positive_5x_oversampling,oversampling,5.0,597,2985,"[""RDKit_MaxAbsEStateIndex"", ""RDKit_MaxEStateIndex"", ""RDKit_MinAbsEStateIndex"", ""RDKit_MinEStateIndex"", ""RDKit_qed"", ""RDKit_SPS"", ""RDKit_MolWt"", ""RDKit_HeavyAtomMolWt"", ""RDKit_ExactMolWt"", ""RDKit_NumValenceElectrons"", ""RDKit_NumRadicalElectrons"", ""RDKit_MaxPartialCharge"", ""RDKit_MinPartialCharge"", ""RDKit_MaxAbsPartialCharge"", ""RDKit_MinAbsPartialCharge"", ""RDKit_FpDensityMorgan1"", ""RDKit_FpDensityMorgan2"", ""RDKit_FpDensityMorgan3"", ""RDKit_BCUT2D_MWHI"", ""RDKit_BCUT2D_MWLOW"", ""RDKit_BCUT2D_CHGHI"", ""RDKit_BCUT2D_CHGLO"", ""RDKit_BCUT2D_LOGPHI"", ""RDKit_BCUT2D_LOGPLOW"", ""RDKit_BCUT2D_MRHI"", ""RDKit_BCUT2D_MRLOW"", ""RDKit_AvgIpc"", ""RDKit_BalabanJ"", ""RDKit_BertzCT"", ""RDKit_Chi0"", ""RDKit_Chi0n"", ""RDKit_Chi0v"", ""RDKit_Chi1"", ""RDKit_Chi1n"", ""RDKit_Chi1v"", ""RDKit_Chi2n"", ""RDKit_Chi2v"", ""RDKit_Chi3n"", ""RDKit_Chi3v"", ""RDKit_Chi4n"", ""RDKit_Chi4v"", ""RDKit_HallKierAlpha"", ""RDKit_Ipc"", ""RDKit_Kappa1"", ""RDKit_Kappa2"", ""RDKit_Kappa3"", ""RDKit_LabuteASA"", ""RDKit_PEOE_VSA1"", ""RDKit_PEOE_VSA10"", ""RDKit_PEOE_VSA11"", ""RDKit_PEOE_VSA12"", ""RDKit_PEOE_VSA13"", ""RDKit_PEOE_VSA14"", ""RDKit_PEOE_VSA2"", ""RDKit_PEOE_VSA3"", ""RDKit_PEOE_VSA4"", ""RDKit_PEOE_VSA5"", ""RDKit_PEOE_VSA6"", ""RDKit_PEOE_VSA7"", ""RDKit_PEOE_VSA8"", ""RDKit_PEOE_VSA9"", ""RDKit_SMR_VSA1"", ""RDKit_SMR_VSA10"", ""RDKit_SMR_VSA2"", ""RDKit_SMR_VSA3"", ""RDKit_SMR_VSA4"", ""RDKit_SMR_VSA5"", ""RDKit_SMR_VSA6"", ""RDKit_SMR_VSA7"", ""RDKit_SMR_VSA8"", ""RDKit_SMR_VSA9"", ""RDKit_SlogP_VSA1"", ""RDKit_SlogP_VSA10"", ""RDKit_SlogP_VSA11"", ""RDKit_SlogP_VSA12"", ""RDKit_SlogP_VSA2"", ""RDKit_SlogP_VSA3"", ""RDKit_SlogP_VSA4"", ""RDKit_SlogP_VSA5"", ""RDKit_SlogP_VSA6"", ""RDKit_SlogP_VSA7"", ""RDKit_SlogP_VSA8"", ""RDKit_SlogP_VSA9"", ""RDKit_TPSA"", ""RDKit_EState_VSA1"", ""RDKit_EState_VSA10"", ""RDKit_EState_VSA11"", ""RDKit_EState_VSA2"", ""RDKit_EState_VSA3"", ""RDKit_EState_VSA4"", ""RDKit_EState_VSA5"", ""RDKit_EState_VSA6"", ""RDKit_EState_VSA7"", ""RDKit_EState_VSA8"", ""RDKit_EState_VSA9"", ""RDKit_VSA_EState1"", ""RDKit_VSA_EState10"", ""RDKit_VSA_EState2"", ""RDKit_VSA_EState3"", ""RDKit_VSA_EState4"", ""RDKit_VSA_EState5"", ""RDKit_VSA_EState6"", ""RDKit_VSA_EState7"", ""RDKit_VSA_EState8"", ""RDKit_VSA_EState9"", ""RDKit_FractionCSP3"", ""RDKit_HeavyAtomCount"", ""RDKit_NHOHCount"", ""RDKit_NOCount"", ""RDKit_NumAliphaticCarbocycles"", ""RDKit_NumAliphaticHeterocycles"", ""RDKit_NumAliphaticRings"", ""RDKit_NumAmideBonds"", ""RDKit_NumAromaticCarbocycles"", ""RDKit_NumAromaticHeterocycles"", ""RDKit_NumAromaticRings"", ""RDKit_NumAtomStereoCenters"", ""RDKit_NumBridgeheadAtoms"", ""RDKit_NumHAcceptors"", ""RDKit_NumHDonors"", ""RDKit_NumHeteroatoms"", ""RDKit_NumHeterocycles"", ""RDKit_NumRotatableBonds"", ""RDKit_NumSaturatedCarbocycles"", ""RDKit_NumSaturatedHeterocycles"", ""RDKit_NumSaturatedRings"", ""RDKit_NumSpiroAtoms"", ""RDKit_NumUnspecifiedAtomStereoCenters"", ""RDKit_Phi"", ""RDKit_RingCount"", ""RDKit_MolLogP"", ""RDKit_MolMR"", ""RDKit_fr_Al_COO"", ""RDKit_fr_Al_OH"", ""RDKit_fr_Al_OH_noTert"", ""RDKit_fr_ArN"", ""RDKit_fr_Ar_COO"", ""RDKit_fr_Ar_N"", ""RDKit_fr_Ar_NH"", ""RDKit_fr_Ar_OH"", ""RDKit_fr_COO"", ""RDKit_fr_COO2"", ""RDKit_fr_C_O"", ""RDKit_fr_C_O_noCOO"", ""RDKit_fr_C_S"", ""RDKit_fr_HOCCN"", ""RDKit_fr_Imine"", ""RDKit_fr_NH0"", ""RDKit_fr_NH1"", ""RDKit_fr_NH2"", ""RDKit_fr_N_O"", ""RDKit_fr_Ndealkylation1"", ""RDKit_fr_Ndealkylation2"", ""RDKit_fr_Nhpyrrole"", ""RDKit_fr_SH"", ""RDKit_fr_aldehyde"", ""RDKit_fr_alkyl_carbamate"", ""RDKit_fr_alkyl_halide"", ""RDKit_fr_allylic_oxid"", ""RDKit_fr_amide"", ""RDKit_fr_amidine"", ""RDKit_fr_aniline"", ""RDKit_fr_aryl_methyl"", ""RDKit_fr_azide"", ""RDKit_fr_azo"", ""RDKit_fr_barbitur"", ""RDKit_fr_benzene"", ""RDKit_fr_benzodiazepine"", ""RDKit_fr_bicyclic"", ""RDKit_fr_diazo"", ""RDKit_fr_dihydropyridine"", ""RDKit_fr_epoxide"", ""RDKit_fr_ester"", ""RDKit_fr_ether"", ""RDKit_fr_furan"", ""RDKit_fr_guanido"", ""RDKit_fr_halogen"", ""RDKit_fr_hdrzine"", ""RDKit_fr_hdrzone"", ""RDKit_fr_imidazole"", ""RDKit_fr_imide"", ""RDKit_fr_isocyan"", ""RDKit_fr_isothiocyan"", ""RDKit_fr_ketone"", ""RDKit_fr_ketone_Topliss"", ""RDKit_fr_lactam"", ""RDKit_fr_lactone"", ""RDKit_fr_methoxy"", ""RDKit_fr_morpholine"", ""RDKit_fr_nitrile"", ""RDKit_fr_nitro"", ""RDKit_fr_nitro_arom"", ""RDKit_fr_nitro_arom_nonortho"", ""RDKit_fr_nitroso"", ""RDKit_fr_oxazole"", ""RDKit_fr_oxime"", ""RDKit_fr_para_hydroxylation"", ""RDKit_fr_phenol"", ""RDKit_fr_phenol_noOrthoHbond"", ""RDKit_fr_phos_acid"", ""RDKit_fr_phos_ester"", ""RDKit_fr_piperdine"", ""RDKit_fr_piperzine"", ""RDKit_fr_priamide"", ""RDKit_fr_prisulfonamd"", ""RDKit_fr_pyridine"", ""RDKit_fr_quatN"", ""RDKit_fr_sulfide"", ""RDKit_fr_sulfonamd"", ""RDKit_fr_sulfone"", ""RDKit_fr_term_acetylene"", ""RDKit_fr_tetrazole"", ""RDKit_fr_thiazole"", ""RDKit_fr_thiocyan"", ""RDKit_fr_thiophene"", ""RDKit_fr_unbrch_alkane"", ""RDKit_fr_urea""]"
