ROC,AP,F1,Accuracy,BalancedAccuracy,Recall,Specificity,Precision,TN,FP,FN,TP,Dataset,ModelFamily,ModelName,FeatureStrategy,FeatureSet,SamplingScenario,SamplingMethod,SamplingRatio,FeatureCount,TrainClass0_after_sampling,TrainClass1_after_sampling,Top4FeatureSets,Weights,Views,Comparison,ROC_Delta_vs_Gatekeeper,ROC_Gain_%,AP_Delta_vs_Gatekeeper,AP_Gain_%,F1_Delta_vs_Gatekeeper,F1_Gain_%
0.8930369127516778,0.8130149524869922,0.7045454545454546,0.868020304568528,0.7927153243847875,0.6458333333333334,0.9395973154362416,0.775,140,9,17,31,ERa_BLA_assay,Gatekeeper,Tuned RF,rdkit,rdkit,balanced_oversampling,oversampling,1.0,217,597.0,597.0,,,,Gatekeeper,0.0,0.0,0.0,0.0,0.0,0.0
0.8902404921700223,0.8101734647194058,0.6923076923076923,0.8781725888324873,0.7711828859060403,0.5625,0.9798657718120806,0.9,146,3,21,27,ERa_BLA_assay,SameFeatureAdvanced,Stacking_LR_Meta_Passthrough_False,rdkit,rdkit,balanced_oversampling,oversampling,1.0,217,,,,,,Best advanced ensemble,-0.002796420581655523,-0.31313605761703933,-0.0028414877675864147,-0.34950006256273336,-0.012237762237762295,-1.7369727047146482
0.9086956521739129,0.9513250510295258,0.8571428571428571,0.8163265306122449,0.8101258581235697,0.8289473684210527,0.7913043478260869,0.8873239436619719,91,24,39,189,ERa_LUC_VM7_assay,Gatekeeper,RF sampling gatekeeper,all_available,all_available,negative_5x_oversampling,oversampling,0.2,2431,4545.0,909.0,,,,Gatekeeper,0.0,0.0,0.0,0.0,0.0,0.0
0.9118993135011442,0.9523403814921563,0.8692307692307693,0.8017492711370262,0.7086575133485888,0.9912280701754386,0.4260869565217391,0.773972602739726,49,66,2,226,ERa_LUC_VM7_assay,SameFeatureAdvanced,Stacking_LR_Meta_Passthrough_False,all_available,all_available,negative_5x_oversampling,oversampling,0.2,2431,,,,,,Best advanced ensemble,0.0032036613272312664,0.3525560312264074,0.0010153304626304704,0.10672802755815984,0.012087912087912156,1.4102564102564183
