ROC,AP,F1,Accuracy,BalancedAccuracy,Recall,Specificity,Precision,TN,FP,FN,TP,Dataset,Comparison,ModelType,ModelName,FeatureSet,FeatureCount,SamplingScenario,SelectionMethod
0.8889821029082775,0.8029074843718218,0.65,0.8578680203045685,0.7506991051454138,0.5416666666666666,0.959731543624161,0.8125,143,6,22,26,ERa_BLA_assay,12 model result,RandomForest,model_ERa_BLA_RandomForest,rdkit,217,none,none
0.8837388143176732,0.8068479227834678,0.6835443037974683,0.8730964467005076,0.7678271812080537,0.5625,0.9731543624161074,0.8709677419354839,145,4,21,27,ERa_BLA_assay,12 model result,ExtraTrees,model_ERa_BLA_ExtraTrees,rdkit,217,none,none
0.8626957494407159,0.7658783474281549,0.6506024096385542,0.8527918781725888,0.7544043624161074,0.5625,0.9463087248322147,0.7714285714285715,141,8,21,27,ERa_BLA_assay,12 model result,HistGradientBoosting,model_ERa_BLA_HistGradientBoosting,rdkit,217,none,none
0.8492729306487695,0.7693395940136065,0.6133333333333333,0.8527918781725888,0.7261605145413871,0.4791666666666667,0.9731543624161074,0.8518518518518519,145,4,25,23,ERa_BLA_assay,12 model result,CatBoost,model_ERa_BLA_CatBoost,rdkit,217,none,none
0.8361297539149888,0.7150598854766125,0.6336633663366337,0.8121827411167513,0.7628635346756152,0.6666666666666666,0.8590604026845637,0.6037735849056604,128,21,16,32,ERa_BLA_assay,12 model result,RBF_SVM,model_ERa_BLA_RBF_SVM,rdkit,217,none,none
0.8308165548098434,0.6634930716330227,0.5684210526315789,0.7918781725888325,0.7141359060402684,0.5625,0.8657718120805369,0.574468085106383,129,20,21,27,ERa_BLA_assay,12 model result,kNN,model_ERa_BLA_kNN,rdkit,217,none,none
0.8270413870246084,0.7414167573296189,0.6493506493506493,0.8629441624365483,0.7469938478747205,0.5208333333333334,0.9731543624161074,0.8620689655172413,145,4,23,25,ERa_BLA_assay,12 model result,GradientBoosting,model_ERa_BLA_GradientBoosting,rdkit,217,none,none
0.8091442953020134,0.6314873583393267,0.04081632653061224,0.7614213197969543,0.5104166666666666,0.020833333333333332,1.0,1.0,149,0,47,1,ERa_BLA_assay,12 model result,LinearSVM,model_ERa_BLA_LinearSVM,rdkit,217,none,none
0.801454138702461,0.6713892028612491,0.5739130434782609,0.751269035532995,0.7296560402684564,0.6875,0.7718120805369127,0.4925373134328358,115,34,15,33,ERa_BLA_assay,12 model result,LogisticRegression,model_ERa_BLA_LogisticRegression,rdkit,217,none,none
0.7010626398210292,0.3984925396092909,0.5436893203883495,0.7614213197969543,0.7010626398210291,0.5833333333333334,0.8187919463087249,0.509090909090909,122,27,20,28,ERa_BLA_assay,12 model result,DecisionTree,model_ERa_BLA_DecisionTree,rdkit,217,none,none
0.5,0.2436548223350254,0.0,0.7563451776649747,0.5,0.0,1.0,0.0,149,0,48,0,ERa_BLA_assay,12 model result,GaussianNB,model_ERa_BLA_GaussianNB,rdkit,217,none,none
