Dataset,BaselineStep,BaselineCandidate,BaselineModel,BaselineFeatureStrategy,BaselineSamplingScenario,Baseline_ROC,Baseline_AP,Baseline_F1,FinalStep,FinalCandidate,FinalModel,FinalModelFamily,FinalFeatureStrategy,FinalSamplingScenario,Final_ROC,Final_AP,Final_F1,ROC_Delta,ROC_Gain_%,AP_Delta,AP_Gain_%,F1_Delta,F1_Gain_%
ERa_BLA_assay,03_feature_ablation,Reference,RandomForest,morgan,none,0.8559843400447427,0.7470693453308556,0.675,08_advanced_ensemble,Gatekeeper,Tuned RF,Gatekeeper,rdkit,balanced_oversampling,0.8930369127516778,0.8130149524869922,0.7045454545454546,0.03705257270693518,4.328650767722974,0.06594560715613662,8.827240411923368,0.02954545454545454,4.377104377104376
ERa_LUC_VM7_assay,03_feature_ablation,Reference,RandomForest,morgan,none,0.8290808543096873,0.8939629347263198,0.8429752066115702,08_advanced_ensemble,Best advanced ensemble,Stacking_LR_Meta_Passthrough_False,SameFeatureAdvanced,all_available,negative_5x_oversampling,0.9118993135011442,0.9523403814921564,0.8692307692307693,0.08281845919145692,9.98918968650091,0.05837744676583656,6.530186487397084,0.026255562619199035,3.1146304675716503
